nome_prodotto,quantita,categoria,inizio_promozione,fine_promozione
CONTORNO PATATE ZUCCHINE E CIPOLLA,450G,ORTOFRUTTA,2026-04-21,2026-05-04
"CONTORNO PATATE, ZUCCHINE E CIPOLLA ROSSA DI TROPEA",450G,ORTOFRUTTA,2025-07-29,2025-08-11
COSTE,500G,ORTOFRUTTA,2025-01-28,2025-02-10
DATTERI,200G,ORTOFRUTTA,2025-12-16,2025-12-31
DATTERI TUNISIA,200G,ORTOFRUTTA,2024-12-17,2024-12-31
FAGIOLINI FINI,1KG,ORTOFRUTTA,2026-06-02,2026-06-15
FAGIOLINI FINISSIMI,450G,ORTOFRUTTA,2026-03-10,2026-03-23
FAVE,1KG,ORTOFRUTTA,2026-04-21,2026-05-04
FAVE SFUSE,N/D,ORTOFRUTTA,2025-04-22,2025-05-05
FICHI BIANCHI,250G,ORTOFRUTTA,2023-12-19,2023-12-31
FINOCCHI,1KG,ORTOFRUTTA,2026-03-24,2026-04-06
FRAGOLE,500G,ORTOFRUTTA,2026-04-21,2026-05-04
FRAGOLE EXTRA,1KG,ORTOFRUTTA,2026-04-07,2026-04-20
FRIARIELLI ITALIANI,330G,ORTOFRUTTA,2026-01-13,2026-01-26
FRUTTA FRULLATA BIO ASSORTITI,100G,ORTOFRUTTA,2024-06-04,2024-06-17
FRUTTA FRULLATA NATURA NUOVA,100G,ORTOFRUTTA,2024-01-30,2024-02-12
FRUTTA SECCA ARACHIDI IN GUSCIO,750G,ORTOFRUTTA,2024-10-08,2024-10-21
FRUTTA SECCA E SNACK KOME TE,N/D,ORTOFRUTTA,2026-04-07,2026-04-20
FRUTTA SECCA KO ME TE,N/D,ORTOFRUTTA,2026-03-10,2026-03-23
FRUTTA SECCA KOME TE,300G,ORTOFRUTTA,2026-02-10,2026-02-23
FRUTTA SECCA LIFE,N/D,ORTOFRUTTA,2024-06-18,2024-07-01
FUNGHI CHAMPIGNONS,450G,ORTOFRUTTA,2025-10-21,2025-11-03
FUNGHI PORCINI CUBETTATI,300G,ORTOFRUTTA,2026-01-13,2026-01-26
GRAMNISTO DI FUNGHI CON PORCINI,300G,ORTOFRUTTA,2025-09-23,2025-10-06
GRANMISTO DI FUNGHI,300G,ORTOFRUTTA,2026-05-05,2026-05-18
GRANMISTO DI FUNGHI CON PORCINI,300G,ORTOFRUTTA,2025-12-02,2025-12-15
IL FRULLATO PLASMON,85G,ORTOFRUTTA,2026-03-10,2026-03-23
INSALATA ALLA RUSSA,1KG,ORTOFRUTTA,2026-03-24,2026-04-06
INSALATA ARCABALENO MIOORTO,300G,ORTOFRUTTA,2024-07-30,2024-08-12
INSALATA ARCOBALENO,300G,ORTOFRUTTA,2026-05-05,2026-05-18
INSALATA ARCOBALENO KO ME TE,300G,ORTOFRUTTA,2026-03-10,2026-03-23
INSALATA ARCOBALENO MIOORTO,300G,ORTOFRUTTA,2026-06-02,2026-06-15
INSALATA CAPRICCIOSA VOGLIAZZI,1KG,ORTOFRUTTA,2024-12-17,2024-12-31
INSALATA DELL'ORTO,N/D,ORTOFRUTTA,2025-09-09,2025-09-22
INSALATA GUSTO E BENESSERE,N/D,ORTOFRUTTA,2026-04-07,2026-04-20
INSALATA ICEBERG,350G,ORTOFRUTTA,2026-06-02,2026-06-15
INSALATA KOME TE,350G,ORTOFRUTTA,2026-02-10,2026-02-23
INSALATA KOME TE ARCOBALENO,300G,ORTOFRUTTA,2025-11-18,2025-12-01
INSALATA KOMETE,N/D,ORTOFRUTTA,2026-05-19,2026-06-01
INSALATA MARUZZELLA,220G,ORTOFRUTTA,2024-09-10,2024-09-23
INSALATA MISTA,N/D,ORTOFRUTTA,2024-08-13,2024-08-26
INSALATA MISTA GLI ORTI IN TAVOLA,400G,ORTOFRUTTA,2025-01-14,2025-01-27
INSALATA MISTA KOME TE,300G,ORTOFRUTTA,2025-08-12,2025-08-25
INSALATA MISTA KOMETE,300G,ORTOFRUTTA,2025-09-23,2025-10-06
INSALATA MISTA MIOORTO,300G,ORTOFRUTTA,2025-01-28,2025-02-10
INSALATA MISTA MIORTO,350G,ORTOFRUTTA,2025-05-06,2025-05-19
INSALATA MISTICANZA ORTO IN TAVOLA,400G,ORTOFRUTTA,2024-02-27,2024-03-11
INSALATA PEPERLIZZA PONTI,300G,ORTOFRUTTA,2025-07-15,2025-07-28
INSALATA RISO FARRO,200G,ORTOFRUTTA,2025-08-26,2025-09-08
INSALATA ROTONDA,230G,ORTOFRUTTA,2024-03-19,2024-04-01
INSALATA RUSSA CAPRICCIOSA,1KG,ORTOFRUTTA,2025-12-16,2025-12-31
INSALATA RUSSA VOGLIAZZI,1KG,ORTOFRUTTA,2024-12-17,2024-12-31
INSALATE,N/D,ORTOFRUTTA,2025-05-20,2025-06-02
INSALATE DEGLI ANGELI,3PZ,ORTOFRUTTA,2024-02-13,2024-02-26
"INSALATE DI FARRO, INSALATA DI RISO",200G,ORTOFRUTTA,2025-07-01,2025-07-14
INSALATE DIVERSI TIPI E GRAMMATURE,N/D,ORTOFRUTTA,2025-05-20,2025-06-02
"INSALATE GLI ORTI IN TAVOLA MISTA, RUCOLA E PIÙ",400G,ORTOFRUTTA,2024-10-22,2024-11-04
INSALATE L'ORTO DEGLI ANGELI,N/D,ORTOFRUTTA,2025-01-14,2025-01-27
INSALATE ORTO DEGLI ANGELI,3PZ,ORTOFRUTTA,2024-05-21,2024-06-03
INSALATE PLANT POWER MAREBLU,N/D,ORTOFRUTTA,2025-08-26,2025-09-08
INSALATE PRONTE,200G,ORTOFRUTTA,2024-05-07,2024-05-20
INSALATIAMO ORTO PRONTO,N/D,ORTOFRUTTA,2025-07-29,2025-08-11
INSALATIANO,121G,ORTOFRUTTA,2024-07-16,2024-07-29
LATTUGHINO GLI ORTI IN TAVOLA,400G,ORTOFRUTTA,2026-03-24,2026-04-06
LATTUGHINO VASSOIO XL,400G,ORTOFRUTTA,2024-03-19,2024-04-01
LE BONTA DELL'ORTO MIOORTO,400G,ORTOFRUTTA,2024-08-13,2024-08-26
LE BONTÁ ORTO DELL'ORTO MIORTO SPINACI ERBETTE,400G,ORTOFRUTTA,2025-05-06,2025-05-19
LE ERBE AROMATICHE OROGEL,N/D,ORTOFRUTTA,2024-11-05,2024-11-18
LE INSALATE,N/D,ORTOFRUTTA,2026-06-02,2026-06-15
LE INSALATE BLUVIOLA,125G,ORTOFRUTTA,2026-03-10,2026-03-23
LE INSALATE EQUILIBRIO DI GUSTO ESPAORE,200G,ORTOFRUTTA,2024-09-10,2024-09-23
LE INSALATE I COLORI DEL BENESSERE,N/D,ORTOFRUTTA,2024-07-16,2024-07-29
LE INSALATE KOME TE,350G,ORTOFRUTTA,2026-04-21,2026-05-04
LIMONI,500G,ORTOFRUTTA,2025-04-22,2025-05-05
LIMONI RETE,500G,ORTOFRUTTA,2025-01-14,2025-01-27
MACEDONIA SCIROPPATA,415G,ORTOFRUTTA,2024-04-02,2024-04-15
MANDARINI,N/D,ORTOFRUTTA,2025-03-11,2025-03-24
MANDORLE TOSTATE E SALATE KOMETE,150G,ORTOFRUTTA,2026-05-19,2026-06-01
MELAGRANA,1KG,ORTOFRUTTA,2025-12-16,2025-12-31
MELAGRANE,1KG,ORTOFRUTTA,2024-12-17,2024-12-31
MELANZANA NERA,N/D,ORTOFRUTTA,2025-07-01,2025-07-14
MELANZANE NERE,1KG,ORTOFRUTTA,2026-06-02,2026-06-15
MELE FUJI,1KG,ORTOFRUTTA,2026-03-10,2026-03-23
MELE FUJY,2.3KG,ORTOFRUTTA,2024-10-22,2024-11-04
MELE GALA,1KG,ORTOFRUTTA,2026-02-10,2026-02-23
MELE GALA MELINDA,1KG,ORTOFRUTTA,2025-10-07,2025-10-20
MELE GOLDEN,1KG,ORTOFRUTTA,2026-05-05,2026-05-18
MELE GOLDEN MELINDA,2KG,ORTOFRUTTA,2026-01-13,2026-01-26
MELE GOLDEN MELINDA MELASI,2.3KG,ORTOFRUTTA,2024-04-02,2024-04-15
MELE RENETTA,1KG,ORTOFRUTTA,2026-02-24,2026-03-09
MELE RENETTA DUE STRATI MELINDA,1KG,ORTOFRUTTA,2026-01-27,2026-02-09
MELE RENETTA MELINDA,1KG,ORTOFRUTTA,2025-11-18,2025-12-01
MELE RENETTE MELINDA,1KG,ORTOFRUTTA,2026-05-05,2026-05-18
"MELONE DINO, LIMELON",1KG,ORTOFRUTTA,2024-07-30,2024-08-12
MELONE RETATO,1KG,ORTOFRUTTA,2025-08-12,2025-08-25
MINESTRONE GRAN SAPORE,600G,ORTOFRUTTA,2026-04-07,2026-04-20
MINESTRONE MIOORTO,500G,ORTOFRUTTA,2025-03-11,2025-03-24
MIRTILLI,125G,ORTOFRUTTA,2026-05-19,2026-06-01
MISTICANZA,400G,ORTOFRUTTA,2024-06-04,2024-06-17
MISTICANZA DIMIDISI,250G,ORTOFRUTTA,2025-06-17,2025-06-30
MISTO PER RISOTTO E SPAGHETTI APPETTAIS,300G,ORTOFRUTTA,2026-06-02,2026-06-15
MISTO PER SOFFRITTO,200G,ORTOFRUTTA,2026-04-07,2026-04-20
MISTO PICCANTE KOME TE,200G,ORTOFRUTTA,2026-04-07,2026-04-20
NEBULIZZATORE A PRESSIONE,2LT,ORTOFRUTTA,2025-02-25,2025-03-10
NOCI IN GUSCIO KOMETE,400G,ORTOFRUTTA,2026-05-19,2026-06-01
OMOGENEIZZATO NIPIOL,80GX3,ORTOFRUTTA,2026-03-10,2026-03-23
PASSATA DI MELA,100G,ORTOFRUTTA,2026-03-10,2026-03-23
PASSATA DI MELA BOSCHETTI,100G,ORTOFRUTTA,2024-02-13,2024-02-26
PASSATA DI MELA CON FRUTTA,100G,ORTOFRUTTA,2026-01-13,2026-01-26
PATATA DI CAMPO,1.5KG,ORTOFRUTTA,2024-10-08,2024-10-21
PATATA DI CAMPO AMICA DELL'AMBIENTE,1KG,ORTOFRUTTA,2025-09-23,2025-10-06
PATATA IODI,1.25KG,ORTOFRUTTA,2025-10-21,2025-11-03
PATATA SELENELLA,1.5KG,ORTOFRUTTA,2026-05-19,2026-06-01
PATATE,4KG,ORTOFRUTTA,2026-02-10,2026-02-23
PATATE GIALLE,1.5KG,ORTOFRUTTA,2025-07-15,2025-07-28
PATATE GIALLE NATURELLA BUGGIERO,1.5KG,ORTOFRUTTA,2026-01-27,2026-02-09
PATATE GRIGLIATE AL ROSMARINO,450G,ORTOFRUTTA,2026-05-05,2026-05-18
PATATE IDOI PIZZOLI,1.25KG,ORTOFRUTTA,2026-03-10,2026-03-23
PATATE IODI PIZZOLI,1.25KG,ORTOFRUTTA,2026-04-07,2026-04-20
PATATE IODI PIZZOLI RETE,1.25KG,ORTOFRUTTA,2025-01-14,2025-01-27
PATATE LA RISSOLÉE MCCAIN,750G,ORTOFRUTTA,2024-05-07,2024-05-20
PATATE NATURELLA,1.5KG,ORTOFRUTTA,2026-04-21,2026-05-04
PATATE NATURELLA ANTONIO RUGGERO,1.5KG,ORTOFRUTTA,2025-04-08,2025-04-21
PATATE NOVELLE,1.5KG,ORTOFRUTTA,2024-06-04,2024-06-17
PATATE NOVELLE NATURELLA TONNO RUGGIERO,5L,ORTOFRUTTA,2026-06-02,2026-06-15
PATATE STICK,2.5KG,ORTOFRUTTA,2026-03-10,2026-03-23
PATATINE CLASSICHE FINODUS,900G,ORTOFRUTTA,2026-04-07,2026-04-20
PEPERONI ROSSI GIALLI,N/D,ORTOFRUTTA,2025-07-29,2025-08-11
PERE ABATE,500G,ORTOFRUTTA,2024-12-03,2024-12-16
PERE WILLIAM,1KG,ORTOFRUTTA,2024-05-21,2024-06-03
PERE WILLIAMS,1KG,ORTOFRUTTA,2026-03-24,2026-04-06
PESCHE,2KG,ORTOFRUTTA,2024-06-04,2024-06-17
PESCHE BIANCHE,500G,ORTOFRUTTA,2025-07-15,2025-07-28
"PESCHE BIANCHE, NETTARINE BIANCHE",1KG,ORTOFRUTTA,2024-07-30,2024-08-12
PESCHE GIALLE,500G,ORTOFRUTTA,2025-09-09,2025-09-22
PESCHE NETTARINE GIALLE,1KG,ORTOFRUTTA,2025-08-26,2025-09-08
PESCHE PARAGUAYO,500G,ORTOFRUTTA,2025-07-29,2025-08-11
PESCHE PARAGUAYO GIALLE,500G,ORTOFRUTTA,2025-07-01,2025-07-14
PISELINNI PRIMAVERA FINDUS,660G,ORTOFRUTTA,2024-08-13,2024-08-26
PISELLI FINI,1KG,ORTOFRUTTA,2026-05-05,2026-05-18
PISELLI FINISSIMI,450G,ORTOFRUTTA,2026-05-19,2026-06-01
PISELLI FINISSIMI LA VALLE,850G,ORTOFRUTTA,2025-10-07,2025-10-20
PISELLI FINISSIMI LA VALLE DEGLI ORTI,850G,ORTOFRUTTA,2026-03-24,2026-04-06
POKER,150G,ORTOFRUTTA,2024-06-18,2024-07-01
POKER MIDORTO,150G,ORTOFRUTTA,2024-10-22,2024-11-04
POKER MIOORTO,150G,ORTOFRUTTA,2026-06-02,2026-06-15
POLPA ALMAVERDE BIO,100G,ORTOFRUTTA,2025-01-28,2025-02-10
POLPA DI FRUTTA,100GX6,ORTOFRUTTA,2026-04-07,2026-04-20
POLPA DI FRUTTA BIO ALMAVERDE,100G,ORTOFRUTTA,2025-06-17,2025-06-30
POLPA DI MELE FRULLÀ,100G X 4,ORTOFRUTTA,2026-02-10,2026-02-23
POMODORI A GRAPPOLO,1KG,ORTOFRUTTA,2025-09-09,2025-09-22
POMODORI CILIEGINO,500G,ORTOFRUTTA,2026-03-10,2026-03-23
POMODORI CUORE DI BUE NAMA,1KG,ORTOFRUTTA,2024-07-16,2024-07-29
POMODORI DATTERINO,250G,ORTOFRUTTA,2026-05-19,2026-06-01
POMODORI DATTERINO CASSETTA,600G,ORTOFRUTTA,2023-12-19,2023-12-31
POMODORI PERINI DA INSALATA,N/D,ORTOFRUTTA,2025-07-01,2025-07-14
POMODORI PERINI INSALATARI,1KG,ORTOFRUTTA,2025-08-26,2025-09-08
POMODORI PERINI ROSSI,1KG,ORTOFRUTTA,2025-08-12,2025-08-25
POMODORI PERINO INSALATARI,1KG,ORTOFRUTTA,2026-05-05,2026-05-18
POMODORI PICCADILLY,500G,ORTOFRUTTA,2026-06-02,2026-06-15
POMODORINI DATTERINO,250G,ORTOFRUTTA,2024-08-27,2024-09-09
POMODORINI DATTERINO TRIFOGLIO,250G,ORTOFRUTTA,2025-07-29,2025-08-11
POMODORINI DATTERINO TRIPODOLIO,250G,ORTOFRUTTA,2025-08-26,2025-09-08
POMODORO CILIEGINO,500G,ORTOFRUTTA,2026-01-27,2026-02-09
POMODORO DATTERINO,400G,ORTOFRUTTA,2025-11-18,2025-12-01
POMODORO PICCADILLY,500G,ORTOFRUTTA,2025-04-22,2025-05-05
POMODORO TONDO,1KG,ORTOFRUTTA,2025-02-25,2025-03-10
PORRO OROGEL,250G,ORTOFRUTTA,2024-11-05,2024-11-18
PRIGNE SANTA CLARA,1KG,ORTOFRUTTA,2024-09-24,2024-10-07
PRONTO CIUOCI KOME TE,400G,ORTOFRUTTA,2025-12-16,2025-12-31
PRONTO CUOCI KOME TE SPINACI ERBETTE,400G,ORTOFRUTTA,2026-04-21,2026-05-04
PRONTO CUOCI KOME TE SPINACI MISTO DA CUOCERE,400G,ORTOFRUTTA,2026-01-27,2026-02-09
PRONTO QUOCI KOM E TE SPINACI,400G,ORTOFRUTTA,2026-02-24,2026-03-09
PRUGNE,500G,ORTOFRUTTA,2024-05-21,2024-06-03
PRUGNE LARGE,500G,ORTOFRUTTA,2025-10-07,2025-10-20
PRUGNE SANTA CLARA,1KG,ORTOFRUTTA,2025-09-09,2025-09-22
PRUGNE SNOCCIOLATE,500G,ORTOFRUTTA,2024-09-24,2024-10-07
PRUNE SECCHE DENOCCIOLATE FRUTTA D'ORO,200G,ORTOFRUTTA,2025-01-03,2025-01-13
SEMI IN BUSTE MAXI,N/D,ORTOFRUTTA,2025-02-25,2025-03-10
SPINACI,1KG,ORTOFRUTTA,2024-04-02,2024-04-15
SPINACI A FOGLIA IN PORZIONI,1KG,ORTOFRUTTA,2025-03-25,2025-04-07
SPINACI BIETOLE,400G,ORTOFRUTTA,2024-06-04,2024-06-17
SPINACI GUSTOSI,450G,ORTOFRUTTA,2026-02-24,2026-03-09
SPINACI IN CUBI,1KG,ORTOFRUTTA,2026-01-13,2026-01-26
SPINACI IN PORZIONI,1KG,ORTOFRUTTA,2024-11-05,2024-11-18
"SPINACI, BIETOLE LE BONTA DELL'ORTO MIDORTO",400G,ORTOFRUTTA,2025-04-08,2025-04-21
"SPINACI, BIETOLE MIOORTO",400G,ORTOFRUTTA,2024-11-05,2024-11-18
"SPINACI, ERBETTE KOMETE",400G,ORTOFRUTTA,2026-05-19,2026-06-01
SPREMI E GUSTA PLASMON,100ML,ORTOFRUTTA,2024-02-13,2024-02-26
SPREMUTA PFANNER,150ML,ORTOFRUTTA,2026-02-24,2026-03-09
STELI GUSTOSI,150G,ORTOFRUTTA,2024-06-18,2024-07-01
STELI GUSTOSI MIOORTO,100G,ORTOFRUTTA,2025-06-03,2025-06-16
STELI GUSTOSI MIORTO,150G,ORTOFRUTTA,2026-04-07,2026-04-20
"TRIGLIATO, PISELLI CON PROSCIUTTO",350G,ORTOFRUTTA,2024-03-12,2024-03-18
TUBO IRRIGAZIONE ELASTICO,5METRI,ORTOFRUTTA,2025-02-25,2025-03-10
UVA,2KG,ORTOFRUTTA,2024-08-27,2024-09-09
UVA BIANCA SENZA SEMI,500G,ORTOFRUTTA,2025-10-21,2025-11-03
UVA ITALIA,1KG,ORTOFRUTTA,2025-10-07,2025-10-20
UVA RED GLOBE,1KG,ORTOFRUTTA,2025-09-09,2025-09-22
UVA SENZA SEMI,500G,ORTOFRUTTA,2024-08-27,2024-09-09
UVA VITTORIA,1KG,ORTOFRUTTA,2025-08-26,2025-09-08
VASO DI FIORI CON GANCI,N/D,ORTOFRUTTA,2025-02-25,2025-03-10
VASO VERONA,N/D,ORTOFRUTTA,2025-02-25,2025-03-10
VERDURE,1KG,ORTOFRUTTA,2026-02-24,2026-03-09
VERDURE COTTE AL VAPORE,500G,ORTOFRUTTA,2026-03-24,2026-04-06
VERDURE GRIGLIATE,450G,ORTOFRUTTA,2026-03-24,2026-04-06
"VERDURE GRIGLIATE MELANZANE, ZUCCHINE, PEPERONI",450G,ORTOFRUTTA,2026-06-02,2026-06-15
VERDURE GRIGLIATE POLLI,N/D,ORTOFRUTTA,2025-10-07,2025-10-20
VERDURE MISTE,600G,ORTOFRUTTA,2026-05-19,2026-06-01
VERDURE MISTE INSALATA RUSSA OROGEL,450G,ORTOFRUTTA,2025-01-03,2025-01-13
VERDURE SATOS,N/D,ORTOFRUTTA,2026-03-10,2026-03-23
ZUCCHINE VERDI,N/D,ORTOFRUTTA,2026-05-19,2026-06-01
AMERICAN SANDWICH,750G,PANE,2026-01-13,2026-01-26
BASE PER FOCACCIA ROTI ONDA,385G,PANE,2025-02-11,2025-02-24
BASE PER FOCACCIA ROTONDA,385G,PANE,2026-02-10,2026-02-23
BASE PER FOCCACCIA,385G,PANE,2025-10-07,2025-10-20
BASE PER PIZZA SENZA GLUTINE,290G,PANE,2025-01-14,2025-01-27
BASE PER PIZZA STUFFER,400G,PANE,2026-01-13,2026-01-26
BASE PER PIZZA TIRATA,420G,PANE,2025-03-11,2025-03-24
BASI PRONTE SFOGLIA / BASE PIZZA,250G,PANE,2024-05-07,2024-05-20
BISCOTTATE GRISSIN BON,N/D,PANE,2025-01-28,2025-02-10
BISCOTTATE INTEGRALI BIO GRISSINBON,250G,PANE,2025-06-17,2025-06-30
BRIOCHES CLASSICA BON JOUR,300G,PANE,2024-08-27,2024-09-09
BRUSCHETTE,90G,PANE,2024-01-02,2024-01-15
CALZONE POMODORO E MOZZARELLA,250G,PANE,2026-06-02,2026-06-15
CIAMBELLA CINESE WEI MEI,380G,PANE,2026-03-10,2026-03-23
CRACKER WASA,270G,PANE,2025-11-18,2025-12-01
CRACKER WASA INTEGRALE,270G,PANE,2024-11-19,2024-12-02
CRACKERS COLUSSI,500G,PANE,2026-05-05,2026-05-18
CRACKERS CON SOIA MISURA,400G,PANE,2024-04-23,2024-05-06
CRACKERS FIBREXTRA MISURA,385GX2,PANE,2026-03-10,2026-03-23
CRACKERS GRAN PAVESI,80GX2,PANE,2026-04-07,2026-04-20
CRACKERS SENZA GLUTINE,200G,PANE,2025-07-29,2025-08-11
CROCCANTELLE MULTI,180G,PANE,2026-03-10,2026-03-23
CROISSANT,300G,PANE,2026-06-02,2026-06-15
CROISSANT GUSTI ASSORTITI,300G,PANE,2024-01-30,2024-02-12
CROSTINI,30GX5,PANE,2025-08-26,2025-09-08
CROSTINI CLASSICI,300G,PANE,2024-05-21,2024-06-03
CUOR DI PANE MULINO BIANCO,325G,PANE,2026-02-24,2026-03-09
FAGOLOSI GRISSIN BON,250G,PANE,2025-10-21,2025-11-03
FAGOLOSI GRISSIN BON CLASSICI,480G,PANE,2025-12-02,2025-12-15
FARINATA GENOVESE APPETAIS,380G,PANE,2025-12-02,2025-12-15
FETTE BISCOTTATE COLUSI,425G,PANE,2024-12-03,2024-12-16
FETTE BISCOTTATE COLUSSI,320G,PANE,2026-05-19,2026-06-01
"FETTE BISCOTTATE COLUSSI CLASSICHE, INTEGRALI",425G,PANE,2025-02-25,2025-03-10
FETTE BISCOTTATE GRANFATTA,600G,PANE,2025-09-09,2025-09-22
FETTE BISCOTTATE GRANFETTA,N/D,PANE,2025-06-17,2025-06-30
FETTE BISCOTTATE INTEGRALI,400G,PANE,2024-04-02,2024-04-15
FETTE BISCOTTATE MULINO BIANCO,630G,PANE,2026-04-21,2026-05-04
"FETTE BISCOTTATE MULINO BIANCO DONNE, INTEGRALI",600G,PANE,2024-07-16,2024-07-29
FETTE BISCOTTATE PROTEICHE GRISSIN BON,250G,PANE,2025-05-06,2025-05-19
FETTINE BIO SESAME,200G,PANE,2024-06-04,2024-06-17
FILLO RETTANGOLARE IN SFOGLIA MULINO BERTOTTI EXQUISA,300G,PANE,2025-04-08,2025-04-21
FILLO RETTANGOLARE IN SFOGLIE MULINO BERTOTTI,300G,PANE,2025-11-04,2025-11-17
FILONCINI HOT DOG,4PZ,PANE,2024-04-23,2024-05-06
FILONCINI PER HOT DOG,300G,PANE,2025-01-14,2025-01-27
FOCACCIA,25G,PANE,2024-01-30,2024-02-12
FOCACCIA CROCCANTE GENOVESE,250G,PANE,2025-04-22,2025-05-05
FOCACCINA,N/D,PANE,2024-05-07,2024-05-20
FOCACCINA ANTICA FORNERIA DI RECCO,N/D,PANE,2026-03-24,2026-04-06
FOCACCINA DI RECCO ANTICAFONERIA,N/D,PANE,2025-07-15,2025-07-28
FOCACCINA DI RICECO,300G,PANE,2025-04-08,2025-04-21
FOGACCINA,N/D,PANE,2024-11-19,2024-12-02
GALLETTE DI MAIS,150G,PANE,2026-05-19,2026-06-01
GALLETTE DI RISO,130G,PANE,2026-06-02,2026-06-15
GALLETTE DI RISO BRITT,130G,PANE,2024-10-08,2024-10-21
GECCHELE,N/D,PANE,2025-08-26,2025-09-08
GRISSIN BON FAGOLOSI,250G,PANE,2025-05-06,2025-05-19
GRISSINI DIVERSI TIPI,250G,PANE,2025-08-26,2025-09-08
GRISSINI GOLOSONI MULTICEREALI,200G,PANE,2025-06-03,2025-06-16
GRISSINI GUSTI ASSORTITI,250G,PANE,2025-10-21,2025-11-03
GRISSINI INTEGRALI,50GX5,PANE,2026-06-02,2026-06-15
GRISSINI IPOSODICI PANMONVISO,120G,PANE,2026-04-07,2026-04-20
GRISSINI RUBATÀ,450G,PANE,2025-03-11,2025-03-24
GRISSINI TORINESI STIRATI,500G,PANE,2025-10-07,2025-10-20
GRISSINI TORINESI STIRATI OLIVA,50G,PANE,2026-01-13,2026-01-26
GRISSINO FINISSIMO LINEA DERBY,500G,PANE,2024-10-08,2024-10-21
IL GRANLUNCHESE GOCCE,N/D,PANE,2025-10-07,2025-10-20
IL PANDORO BALOCCO,750G,PANE,2023-12-05,2023-12-18
L'ORIGINALE PINSA ROMANA NUVOLA,230G,PANE,2024-12-03,2024-12-16
LA COLOMBA BALOCCO CLASSICA,700G,PANE,2026-03-24,2026-04-06
LA MINI PINSA ROMANA,125G,PANE,2026-04-21,2026-05-04
LA MINIPINSA ROMANA,125G,PANE,2025-07-15,2025-07-28
LA MINIPINSA ROMANA L'ARTIGIANO,125G,PANE,2024-02-13,2024-02-26
LA PIZZA SENZA GLUTINE S.MARTINO,N/D,PANE,2026-01-13,2026-01-26
"LE BRUSCHETTE GUSTO MEDITERRANEO, NATURALE",90G,PANE,2026-01-02,2026-01-12
LE FETTE BISCOTTATE GRISHIN BON,250G,PANE,2024-05-21,2024-06-03
LE FRESCHE BISCOTTATE GRISSIN BON,250G,PANE,2025-07-29,2025-08-11
LE RIGHELLE,250G,PANE,2024-06-18,2024-07-01
LINGUE CROCCANTI FORNO DAMIANI,60G,PANE,2025-02-11,2025-02-24
MERENDA TENERONI GRAN TERRE,N/D,PANE,2025-01-03,2025-01-13
MINI PIADINA,200G,PANE,2026-01-13,2026-01-26
MINIHADINA ARMONIE,200G,PANE,2024-03-12,2024-03-18
PAGNOTTA CEREALI,400G,PANE,2025-11-04,2025-11-17
PAN BAULETTO MULINO BIANCO,400G,PANE,2026-05-19,2026-06-01
PAN BAULETTO MULINO BIANCO GRANO DURO,400G,PANE,2025-10-21,2025-11-03
PAN CARRÉ MULINO BIANCO,400G,PANE,2025-12-16,2025-12-31
PAN DELLA SENNA,340G,PANE,2025-11-04,2025-11-17
PAN DI SFOGLIA,320G,PANE,2025-03-25,2025-04-07
PAN PIUMA ARTEBIANCA,400G,PANE,2025-06-17,2025-06-30
PAN PIUMA ARTEBIANCA GRANO TENERO,400G,PANE,2025-05-20,2025-06-02
PAN PIUMA ARTEBIANCHA,400G,PANE,2024-12-17,2024-12-31
PANCAKES,240G,PANE,2026-05-05,2026-05-18
PANCAKES HIGH PROTEIN MULINO PRO,160G,PANE,2024-01-30,2024-02-12
PANE + CIOCCOLATO AL LATTE MULINO BIANCO,300G,PANE,2024-07-16,2024-07-29
PANE AMERICAN SANDWICH,750G,PANE,2025-01-28,2025-02-10
PANE BAULETTO AL GRANO DURO,400G,PANE,2025-06-03,2025-06-16
PANE BAULETTO BIANCO,400G,PANE,2024-09-24,2024-10-07
PANE CINESE WEI MEI,300G,PANE,2026-03-10,2026-03-23
PANE CROCCANTE A FETTE INTEGRALE,125G,PANE,2026-04-07,2026-04-20
PANE CROCCANTE INTEGRALE BIO CON SESAMO,200G,PANE,2026-02-10,2026-02-23
PANE DELLA SENNA GECHELE,340G,PANE,2025-04-08,2025-04-21
PANE GHECCHE,360G,PANE,2024-06-18,2024-07-01
PANE GRATTUGIATO BIOLOGICO,400G,PANE,2024-01-16,2024-01-29
PANE GRECO PITA GECCHELE,360G,PANE,2024-08-27,2024-09-09
PANE GUTTIAU,250G,PANE,2026-04-07,2026-04-20
PANE INTEGRALE,400G,PANE,2026-01-13,2026-01-26
PANE NAAN,260G,PANE,2024-01-02,2024-01-15
PANE PITA,450G,PANE,2026-02-10,2026-02-23
PANE PROTEICO,375G,PANE,2024-04-23,2024-05-06
PANE PROTEICO PEMA,375G,PANE,2026-04-21,2026-05-04
PANETTONE BALOCCO MAXICOK,800G,PANE,2023-12-05,2023-12-18
PANETTONE GRANDUCALE,1KG,PANE,2023-12-05,2023-12-18
PANINI PER HAMBURGER,300G,PANE,2026-05-19,2026-06-01
PASTA CON LIEVITO MADRE,800G,PANE,2026-01-13,2026-01-26
PASTA FILLO RETTANGOLARE IN SFOGLIE,300G,PANE,2026-03-24,2026-04-06
PASTA SFOGLIA 100% VEGETALE RETTANGOLARE,250G,PANE,2024-05-21,2024-06-03
